t,start_state,end_state,count
0.5,0,0,14761
0.5,0,1,187
0.5,0,2,7
0.5,0,3,1
0.5,0,4,0
0.5,0,5,0
0.5,0,6,0
0.5,0,7,337
0.5,0,8,18
0.5,0,9,1
0.5,0,10,0
0.5,0,11,0
0.5,0,12,0
0.5,1,0,469
0.5,1,1,10477
0.5,1,2,1178
0.5,1,3,55
0.5,1,4,1
0.5,1,5,0
0.5,1,6,0
0.5,1,7,662
0.5,1,8,2306
0.5,1,9,217
0.5,1,10,4
0.5,1,11,0
0.5,1,12,0
0.5,2,0,9
0.5,2,1,696
0.5,2,2,8278
0.5,2,3,1545
0.5,2,4,84
0.5,2,5,2
0.5,2,6,0
0.5,2,7,27
0.5,2,8,1186
0.5,2,9,2959
0.5,2,10,305
0.5,2,11,13
0.5,2,12,0
0.5,3,0,1
0.5,3,1,15
0.5,3,2,900
0.5,3,3,7517
0.5,3,4,1624
0.5,3,5,71
0.5,3,6,0
0.5,3,7,2
0.5,3,8,68
0.5,3,9,1720
0.5,3,10,3142
0.5,3,11,294
0.5,3,12,3
0.5,4,0,0
0.5,4,1,0
0.5,4,2,27
0.5,4,3,1171
0.5,4,4,7331
0.5,4,5,1526
0.5,4,6,40
0.5,4,7,0
0.5,4,8,1
0.5,4,9,130
0.5,4,10,2242
0.5,4,11,2835
0.5,4,12,186
0.5,5,0,0
0.5,5,1,0
0.5,5,2,1
0.5,5,3,47
0.5,5,4,1368
0.5,5,5,7700
0.5,5,6,1121
0.5,5,7,0
0.5,5,8,0
0.5,5,9,4
0.5,5,10,207
0.5,5,11,2788
0.5,5,12,1944
0.5,6,0,0
0.5,6,1,0
0.5,6,2,0
0.5,6,3,0
0.5,6,4,82
0.5,6,5,1919
0.5,6,6,9217
0.5,6,7,0
0.5,6,8,0
0.5,6,9,1
0.5,6,10,10
0.5,6,11,355
0.5,6,12,3729
0.5,7,0,6788
0.5,7,1,5115
0.5,7,2,309
0.5,7,3,7
0.5,7,4,0
0.5,7,5,0
0.5,7,6,0
0.5,7,7,2426
0.5,7,8,805
0.5,7,9,49
0.5,7,10,2
0.5,7,11,0
0.5,7,12,0
0.5,8,0,105
0.5,8,1,5423
0.5,8,2,4756
0.5,8,3,416
0.5,8,4,9
0.5,8,5,0
0.5,8,6,0
0.5,8,7,245
0.5,8,8,3364
0.5,8,9,1140
0.5,8,10,66
0.5,8,11,3
0.5,8,12,0
0.5,9,0,2
0.5,9,1,188
0.5,9,2,4766
0.5,9,3,4406
0.5,9,4,426
0.5,9,5,17
0.5,9,6,0
